Region,System
Geminate,FDZ4-A
Geminate,HKYW-T
Geminate,K42-IE
Geminate,L-TOFR
Geminate,LX-ZOJ
Geminate,O2O-2X
Geminate,QKTR-L
Geminate,SR-KBB
Geminate,TDE4-H
Geminate,TJM-JJ
Geminate,WH-2EZ
Genesis,Access
Genesis,Central Point
Genesis,Chamja
Genesis,Dom-Aphis
Genesis,Habu
Genesis,Hadji
Genesis,Hesarid
Genesis,Madomi
Genesis,Malma
Genesis,Nasreri
Genesis,New Eden
Genesis,Ourapheh
Genesis,Pashanai
Genesis,Sibe
Genesis,Sigga
Genesis,Simela
Genesis,Tahli
Genesis,Vecamia
Great Wildlands,4M-P1I
Great Wildlands,7Q-8Z2
Great Wildlands,8DL-CP
Great Wildlands,B-VIP9
Great Wildlands,DE71-9
Great Wildlands,F5-CGW
Great Wildlands,HB-1NJ
Great Wildlands,IX8-JB
Great Wildlands,N-RAEL
Great Wildlands,NE-3GR
Great Wildlands,QM-20X
Great Wildlands,QQ3-YI
Great Wildlands,R-ESG0
Great Wildlands,TET3-B
Great Wildlands,UNJ-GX
Great Wildlands,UT-UZB
Great Wildlands,V89M-R
Great Wildlands,Y4-GQV
Great Wildlands,YUY-LM
Great Wildlands,ZM-DNR
Heimatar,Abudban
Heimatar,Ameinaka
Heimatar,Bogelek
Heimatar,Bosboger
Heimatar,Eystur
Heimatar,Frarn
Heimatar,Krilmokenur
Heimatar,Larkugei
Heimatar,Obrolber
Heimatar,Otraren
Heimatar,Rokofur
Heimatar,Sist
Immensea,6-I162
Immensea,AC-7LZ
Immensea,CJNF-J
Immensea,FRTC-5
Immensea,NS2L-4
Immensea,O7-7UX
Immensea,R-ORB7
Immensea,U9U-TQ
Immensea,Y-C4AL
Immensea,Y-FZ5N
Immensea,Y19P-1
Impass,01TG-J
Impass,4OIV-X
Impass,6E-MOW
Impass,DDI-B7
Impass,DY-40Z
Impass,E7VE-V
Impass,GU-9F4
Impass,PZMA-E
Impass,X-0CKQ
Impass,Z-N9IP
Insmother,0-VG7A
Insmother,1ZF-PJ
Insmother,4CJ-AC
Insmother,5-2PQU
Insmother,5C-RPA
Insmother,88A-RA
Insmother,B-II34
Insmother,C1G-XC
Insmother,EKPB-3
Insmother,EUU-4N
Insmother,F3-8X2
Insmother,F39H-1
Insmother,GDHN-K
Insmother,GK5Z-T
Insmother,HL-VZX
Insmother,KD-KPR
Insmother,L5-UWT
Insmother,MOCW-2
Insmother,N-O53U
Insmother,N7-BIY
Insmother,O-7LAI
Insmother,RD-FWY
Insmother,V-QXXK
Insmother,VBPT-T
Insmother,XQP-9C
Insmother,ZO-4AR
Kador,Aharalel
Kador,Ansasos
Kador,Ardhis
Kador,Asrios
Kador,Bersyrim
Kador,Chanoun
Kador,Halibai
Kador,Hikansog
Kador,Hiremir
Kador,Ithar
Kador,Jennim
Kador,Miah
Kador,Oberen
Kador,Peyiri
Kador,Rayeret
Kador,Salah
Kador,Ustnia
Khanid,Arzieh
Khanid,Ashmarir
Khanid,Aurejet
Khanid,Dimoohan
Khanid,Fanathor
Khanid,Firbha
Khanid,Gidali
Khanid,Hishai
Khanid,Kuhri
Khanid,Moro
Khanid,Nahrneder
Khanid,Nakis
Khanid,Parses
Khanid,Reteka
Khanid,Sassecho
Khanid,Sazre
Khanid,Seshala
Khanid,Talidal
Khanid,Tzashrah
Khanid,Zahefeus
Kor-Azor,Ami
Kor-Azor,Andrub
Kor-Azor,Annad
Kor-Azor,Khabara
Kor-Azor,Masanuh
Kor-Azor,Mora
Kor-Azor,Nakregde
Kor-Azor,Rannoze
Kor-Azor,Shaha
Kor-Azor,Tralasa
Lonetrek,Aivoli
Lonetrek,Ajanen
Lonetrek,Ekura
Lonetrek,Hakonen
Lonetrek,Isseras
Lonetrek,Kirras
Lonetrek,Korama
Lonetrek,Oishami
Lonetrek,Ossa
Lonetrek,Rauntaka
Lonetrek,Ruvas
Lonetrek,Sotrentaira
Lonetrek,Tartoken
Lonetrek,Tunttaras
Lonetrek,Vuorrassi
Lonetrek,Yoma
Malpais,1NZV-7
Malpais,7T-0QS
Malpais,APES-G
Malpais,DAI-SH
Malpais,F-TQWO
Malpais,GL6S-2
Malpais,H-EBQG
Malpais,HG-YEQ
Malpais,IBOX-2
Malpais,JA-G0T
Malpais,N-YLOE
Malpais,NBW-GD
Malpais,NSI-MW
Malpais,POQP-K
Malpais,PWPY-4
Malpais,QSCO-D
Malpais,RUF3-O
Malpais,S5W-1Z
Malpais,VVB-QH
Malpais,XTVZ-E
Malpais,Y-XZA7
Malpais,ZOPZ-6
Metropolis,Agtver
Metropolis,Aldilur
Metropolis,Ardar
Metropolis,Arifsdald
Metropolis,Arnstur
Metropolis,Aset
Metropolis,Asgeir
Metropolis,Atonder
Metropolis,Auner
Metropolis,Earwik
Metropolis,Egbonbet
Metropolis,Egmar
Metropolis,Eram
Metropolis,Erindur
Metropolis,Erstet
Metropolis,Erstur
Metropolis,Eszur
Metropolis,Eygfe
Metropolis,Fildar
Metropolis,Hakeri
Metropolis,Hilfhurmur
Metropolis,Hjoramold
Metropolis,Hodrold
Metropolis,Jondik
Metropolis,Lasleinur
Metropolis,Lirerim
Metropolis,Nakugard
Metropolis,Nedegulf
Metropolis,Sirekur
Metropolis,Situner
Metropolis,Tabbetzur
Molden Heath,Altbrard
Molden Heath,Gulfonodi
Molden Heath,Hedaleolfarber
Molden Heath,Hegfunden
Molden Heath,Hrokkur
Molden Heath,Illamur
Molden Heath,Orien
Molden Heath,Osvetur
Molden Heath,Sakulda
Molden Heath,Varigne
Oasa,3-JG3X
Oasa,6U-MFQ
Oasa,DGDT-3
Oasa,HO4E-Q
Oasa,IG-4OF
Oasa,IO-R2S
Oasa,JXQJ-B
Oasa,KED-2O
Oasa,MZLW-9
Oasa,RJBC-I
Oasa,U-RELP
Oasa,U9SE-N
Oasa,X-CYNC
Oasa,X-Z4JW
Oasa,XKM-DE
Oasa,Y-770C
Omist,7-8EOE
Omist,99-0GS
Omist,9MWZ-B
Omist,C-WPWH
Omist,DJK-67
Omist,H90-C9
Omist,KR8-27
Omist,L-AS00
Omist,M9-FIB
Omist,OKEO-X
Omist,PEM-LC
Omist,X-EHHD
Omist,Z-7OK1
Outer Passage,0-4VQL
Outer Passage,2ULC-J
Outer Passage,2WU-XT
Outer Passage,4AZV-W
Outer Passage,4O-ZRI
Outer Passage,8-AA98
Outer Passage,CNHV-M
Outer Passage,J7X-VN
Outer Passage,KGCF-5
Outer Passage,LTT-AP
Outer Passage,MC4C-H
Outer Passage,N-I024
Outer Passage,QFRV-2
Outer Passage,QHH-13
Outer Passage,QOK-SX
Outer Passage,TFPT-U
Outer Passage,WIO-OL
Outer Passage,XUPK-Z
Outer Passage,YQM-P1
Outer Passage,ZZK-VF
Outer Ring,0-WVQS
Outer Ring,0D-CHA
Outer Ring,A-5M31
Outer Ring,C0T-77
Outer Ring,CT7-5V
Outer Ring,F5FO-U
Outer Ring,JKJ-VJ
Outer Ring,T-Z6J2
Paragon Soul,3PPT-9
Paragon Soul,ARBX-9
Paragon Soul,GQ2S-8
Paragon Soul,H8-ZTO
Paragon Soul,LD-2VL
Paragon Soul,O-MCZR
Paragon Soul,O-N589
Period Basis,08S-39
Period Basis,E-DOF2
Period Basis,GR-J8B
Period Basis,RYQC-I
Period Basis,TCAG-3
Period Basis,VQE-CN
Period Basis,Z-M5A1
Perrigen Falls,0-U2M4
Perrigen Falls,4-1ECP
Perrigen Falls,9-ZA4Z
Perrigen Falls,A1F-22
Perrigen Falls,BEG-RL
Perrigen Falls,E-WMT7
Perrigen Falls,H-29TM
Perrigen Falls,J9A-BH
Perrigen Falls,JPEZ-R
Perrigen Falls,JZ-UQC
Perrigen Falls,LW-YEW
Perrigen Falls,M4-KX5
Perrigen Falls,MJ-5F9
Perrigen Falls,MTO2-2
Perrigen Falls,O-QKSM
Perrigen Falls,OP7-BP
Perrigen Falls,PE-SAM
Perrigen Falls,PFV-ZH
Perrigen Falls,RY-2FX
Perrigen Falls,SY-OLX
Perrigen Falls,TAL1-3
Perrigen Falls,VWES-Y
Perrigen Falls,XU7-CH
Placid,Algasienan
Placid,Alsavoinon
Placid,Amoen
Placid,Aubonnie
Placid,Aulbres
Placid,Cumemare
Placid,Dastryns
Placid,Evaulon
Placid,Gallusiene
Placid,Mercomesier
Placid,Moclinamaud
Placid,Oicx
Placid,Pain
Pochven,Kaunokka
Pochven,Komo
Pochven,Konola
Pochven,Kuharah
Providence,2V-CS5
Providence,8P9-BM
Providence,9UY4-H
Providence,D-6WS1
Providence,FSW-3C
Providence,GN7-XY
Providence,HP-6Z6
Providence,I-MGAB
Providence,K1Y-5H
Providence,MH9C-S
Providence,N-RMSH
Providence,OXIY-V
Providence,QBL-BV
Providence,QR-K85
Providence,TU-O0T
Pure Blind,12YA-2
Pure Blind,4-ABS8
Pure Blind,5ZXX-K
Pure Blind,JC-YX8
Pure Blind,KQK1-2
Pure Blind,R-2R0G
Pure Blind,RORZ-H
Pure Blind,RZC-16
Pure Blind,S-MDYI
Pure Blind,U-INPD
Pure Blind,UC3H-Y
Pure Blind,UI-8ZE
Pure Blind,WW-KGD
Querious,3D5K-R
Querious,8B-SAJ
Querious,A-BO4V
Querious,A3-LOG
Querious,E-VKJV
Querious,ED-L9T
Querious,KEJY-U
Querious,MKD-O8
Querious,O3L-95
Querious,OGY-6D
Querious,RF-CN3
Querious,TV8-HS
Querious,UVHO-F
Querious,UYU-VV
Querious,W6V-VM
Querious,Z-UZZN
Scalding Pass,1QZ-Y9
Scalding Pass,2-KPW6
Scalding Pass,4E-EZS
Scalding Pass,6-KPAB
Scalding Pass,9BC-EB
Scalding Pass,9PX2-F
Scalding Pass,F2-NXA
Scalding Pass,FYD-TO
Scalding Pass,GN-PDU
Scalding Pass,H5N-V7
Scalding Pass,IAK-JW
Scalding Pass,JLO-Z3
Scalding Pass,K7-LDX
Scalding Pass,LBC-AW
Scalding Pass,LQ-OAI
Scalding Pass,NSBE-L
Scalding Pass,Q-K2T7
Scalding Pass,Q-NA5H
Scalding Pass,V-F6DQ
Scalding Pass,WFFE-4
Scalding Pass,WV0D-1
Scalding Pass,X9V-15
Sinq Laison,Adiere
Sinq Laison,Adrallezoen
Sinq Laison,Alles
Sinq Laison,Augnais
Sinq Laison,Aunia
Sinq Laison,Balle
Sinq Laison,Bamiette
Sinq Laison,Basgerin
Sinq Laison,Colelie
Sinq Laison,Crielere
Sinq Laison,Croleur
Sinq Laison,Doussivitte
Sinq Laison,Dunraelare
Sinq Laison,Eglennaert
Sinq Laison,Fluekele
Sinq Laison,Gallareue
Sinq Laison,Iyen-Oursta
Sinq Laison,Lamadent
Sinq Laison,Lermireve
Sinq Laison,Pucherie
Sinq Laison,Sharuveil
Sinq Laison,Stegette
Sinq Laison,Unel
Solitude,Aeter
Solitude,Anckee
Solitude,Maire
Solitude,Odinesyn
Solitude,Ogaria
Solitude,Pertnineere
Solitude,Stoure
Solitude,Toustain
Solitude,Weraroix
Solitude,Yvelet
Stain,2B-3M4
Stain,2IGP-1
Stain,373Z-7
Stain,37S-KO
Stain,42-UOW
Stain,4XW2-D
Stain,6QBH-S
Stain,A-GPTM
Stain,B-G1LG
Stain,CJF-1P
Stain,FV-SE8
Stain,G-ME2K
Stain,J-AYLV
Stain,JU-UYK
Stain,L6B-0N
Stain,LGK-VP
Stain,LGL-SD
Stain,O-CT8N
Stain,TL-T9Z
Stain,UKYS-5
Stain,WEQT-K
Stain,WHG2-7
Stain,X5O1-L
Stain,XFBE-T
Stain,Y1-UQ2
Syndicate,0LTQ-C
Syndicate,2G38-I
Syndicate,5-FGQI
Syndicate,5-T0PZ
Syndicate,5-VKCN
Syndicate,51-5XG
Syndicate,57-YRU
Syndicate,6-CZ49
Syndicate,617I-I
Syndicate,9U-TTJ
Syndicate,BY-S36
Syndicate,CIS-7X
Syndicate,DUV-5Y
Syndicate,EU0I-T
Syndicate,FD-MLJ
Syndicate,KFR-ZE
Syndicate,Poitot
Syndicate,T-LIWS
Syndicate,ZN0-SR
Tash-Murkon,Abai
Tash-Murkon,Adahum
Tash-Murkon,Ahkour
Tash-Murkon,Ahrosseas
Tash-Murkon,Arakor
Tash-Murkon,Chamume
Tash-Murkon,Gyerzen
Tash-Murkon,Hilaban
Tash-Murkon,Hoona
Tash-Murkon,Ivih
Tash-Murkon,Kerepa
Tash-Murkon,Lari
Tash-Murkon,Mani
Tash-Murkon,Paye
Tash-Murkon,Pera
Tash-Murkon,Phoren
Tash-Murkon,Pimsu
Tash-Murkon,Remoriu
Tash-Murkon,Rumida
Tash-Murkon,Safilbab
Tash-Murkon,Saminer
Tash-Murkon,Teshkat
Tash-Murkon,Tew
Tash-Murkon,Yeder
Tenal,3DR-CR
Tenal,5-O8B1
Tenal,6OYQ-Z
Tenal,7D-PAT
Tenal,A1RR-M
Tenal,EOY-BG
Tenal,KMV-CQ
Tenal,PNS7-J
Tenal,Q1U-IU
Tenal,S-1LIO
Tenal,SZ6-TA
Tenal,T-K10W
Tenal,WV-0R2
Tenal,ZK-YQ3
Tenerifis,0P-U0Q
Tenerifis,16AM-3
Tenerifis,3L3N-X
Tenerifis,9-980U
Tenerifis,BW-WJ2
Tenerifis,F-ZBO0
Tenerifis,FE-6YQ
Tenerifis,H-HWQR
Tenerifis,JI1-SY
Tenerifis,KW-OAM
Tenerifis,MS1-KJ
Tenerifis,NZW-ZO
Tenerifis,PEK-8Z
Tenerifis,T-AKQZ
Tenerifis,WB-AYY
Tenerifis,Y-EQ0C
Tenerifis,Y-ORBJ
Tenerifis,ZD1-Z2
Tenerifis,ZO-P5K
The Bleak Lands,Anka
The Bleak Lands,Hakodan
The Bleak Lands,Komaa
The Bleak Lands,Kurniainen
The Bleak Lands,Otelen
The Bleak Lands,Saikamon
The Bleak Lands,Uusanen
The Citadel,Aikoro
The Citadel,Hasama
The Citadel,Hysera
The Citadel,Irjunen
The Citadel,Ishomilken
The Citadel,Isutaka
The Citadel,Kausaaja
The Citadel,Kulelen
The Citadel,Kusomonmon
The Citadel,Laah
The Citadel,Onatoh
The Citadel,Sankkasen
The Citadel,Santola
The Citadel,Tama
The Citadel,Uotila
The Citadel,Yashunen
The Forge,Ahtulaima
The Forge,Akkio
The Forge,Akora
The Forge,Jakanerva
The Forge,Mahtista
The Forge,Nomaa
The Forge,Nuken
The Forge,Obanen
The Forge,Ohkunen
The Forge,Osaa
The Forge,Otomainen
The Forge,Outuni
The Forge,Shihuken
The Forge,Ukkalen
The Forge,Uoyonen
The Kalevala Expanse,6FS-CZ
The Kalevala Expanse,86L-9F
The Kalevala Expanse,BM-VYZ
The Kalevala Expanse,BVRQ-O
The Kalevala Expanse,C3J0-O
The Kalevala Expanse,EPCD-D
The Kalevala Expanse,HD-HOZ
The Kalevala Expanse,HPV-RJ
The Kalevala Expanse,J-OAH2
The Kalevala Expanse,JT2I-7
The Kalevala Expanse,K76A-3
The Kalevala Expanse,LE-67X
The Kalevala Expanse,R1O-GN
The Kalevala Expanse,SH6X-F
The Kalevala Expanse,TA9T-P
The Spire,B9EA-G
The Spire,C6C-K9
The Spire,E-BFLT
The Spire,ETO-OT
The Spire,GTB-O4
The Spire,H4X-0I
The Spire,HIK-MC
The Spire,K-XJJT
The Spire,K-YL9T
The Spire,KPI-OW
The Spire,M-NP5O
The Spire,OTJ9-E
The Spire,P65-TA
The Spire,RXA-W1
Tribute,C2X-M5
Tribute,C8VC-S
Tribute,F-749O
Tribute,NJ4X-S
Tribute,S8-NSQ
Tribute,SH1-6P
Tribute,V0DF-2
Tribute,W-UQA5
Tribute,WH-JCA
Tribute,XD-TOV
Vale of the Silent,0MV-4W
Vale of the Silent,1N-FJ8
Vale of the Silent,1VK-6B
Vale of the Silent,1W-0KS
Vale of the Silent,5T-KM3
Vale of the Silent,6WW-28
Vale of the Silent,7-K5EL
Vale of the Silent,BR-6XP
Vale of the Silent,FS-RFL
Vale of the Silent,H-NOU5
Vale of the Silent,JZV-F4
Vale of the Silent,LS9B-9
Vale of the Silent,MGAM-4
Vale of the Silent,MQ-O27
Vale of the Silent,O-LR1H
Vale of the Silent,P3EN-E
Vale of the Silent,Q-R3GP
Vale of the Silent,S-NJBB
Vale of the Silent,VI2K-J
Vale of the Silent,XSQ-TF
Vale of the Silent,Z-8Q65
Vale of the Silent,ZA0L-U
Venal,0-XIDJ
Venal,2PLH-3
Venal,4RX-EE
Venal,9-266Q
Venal,92K-H2
Venal,9IPC-E
Venal,AJCJ-1
Venal,EK2-ET
Venal,HBD-CC
Venal,K3JR-J
Venal,M2-2V1
Venal,N-Q5PW
Venal,N5Y-4N
Venal,OJ-CT4
Venal,Y6-HPG
Verge Vendor,Adallier
Verge Vendor,Alenia
Verge Vendor,Arraron
Verge Vendor,Channace
Verge Vendor,Claulenne
Verge Vendor,Merolles
Verge Vendor,Raneilles
Verge Vendor,Scolluzer
Verge Vendor,Tierijev
Wicked Creek,3Q-VZA
Wicked Creek,4-EFLU
Wicked Creek,5NQI-E
Wicked Creek,8-OZU1
Wicked Creek,EIH-IU
Wicked Creek,G9L-LP
Wicked Creek,GPD5-0
Wicked Creek,HD-AJ7
Wicked Creek,HPBE-D
Wicked Creek,J-RXYN
Wicked Creek,J7-BDX
Wicked Creek,JEQG-7
Wicked Creek,JQU-KY
Wicked Creek,R0-DMM
Wicked Creek,U104-3
